,Literals Count,Clauses Count,Dimension
0000000000000000,0.0,0.0,0.0
0000000000000001,4.0,4.0,8.0
0000000000000010,4.0,4.0,8.0
0000000000000011,3.0,3.0,6.0
0000000000000100,4.0,4.0,8.0
0000000000000101,3.0,3.0,6.0
0000000000000110,6.0,4.0,10.0
0000000000000111,4.0,3.0,7.0
0000000000001000,4.0,4.0,8.0
0000000000001001,6.0,4.0,10.0
0000000000001010,3.0,3.0,6.0
0000000000001011,4.0,3.0,7.0
0000000000001100,3.0,3.0,6.0
0000000000001101,4.0,3.0,7.0
0000000000001110,4.0,3.0,7.0
0000000000001111,2.0,2.0,4.0
0000000000010000,4.0,4.0,8.0
0000000000010001,3.0,3.0,6.0
0000000000010010,6.0,4.0,10.0
0000000000010011,4.0,3.0,7.0
0000000000010100,6.0,4.0,10.0
0000000000010101,4.0,3.0,7.0
0000000000010110,10.0,5.0,15.0
0000000000010111,7.0,4.0,11.0
0000000000011000,8.0,2.0,10.0
0000000000011001,7.0,4.0,11.0
0000000000011010,7.0,4.0,11.0
0000000000011011,5.0,3.0,8.0
0000000000011100,7.0,4.0,11.0
0000000000011101,5.0,3.0,8.0
0000000000011110,8.0,4.0,12.0
0000000000011111,5.0,3.0,8.0
0000000000100000,4.0,4.0,8.0
0000000000100001,6.0,4.0,10.0
0000000000100010,3.0,3.0,6.0
0000000000100011,4.0,3.0,7.0
0000000000100100,8.0,2.0,10.0
0000000000100101,7.0,4.0,11.0
0000000000100110,7.0,4.0,11.0
0000000000100111,5.0,3.0,8.0
0000000000101000,6.0,4.0,10.0
0000000000101001,10.0,5.0,15.0
0000000000101010,4.0,3.0,7.0
0000000000101011,7.0,4.0,11.0
0000000000101100,7.0,4.0,11.0
0000000000101101,8.0,4.0,12.0
0000000000101110,5.0,3.0,8.0
0000000000101111,5.0,3.0,8.0
0000000000110000,3.0,3.0,6.0
0000000000110001,4.0,3.0,7.0
0000000000110010,4.0,3.0,7.0
0000000000110011,2.0,2.0,4.0
0000000000110100,7.0,4.0,11.0
0000000000110101,5.0,3.0,8.0
0000000000110110,8.0,4.0,12.0
0000000000110111,5.0,3.0,8.0
0000000000111000,7.0,4.0,11.0
0000000000111001,8.0,4.0,12.0
0000000000111010,5.0,3.0,8.0
0000000000111011,5.0,3.0,8.0
0000000000111100,5.0,3.0,8.0
0000000000111101,6.0,3.0,9.0
0000000000111110,6.0,3.0,9.0
0000000000111111,3.0,2.0,5.0
0000000001000000,4.0,4.0,8.0
0000000001000001,6.0,4.0,10.0
0000000001000010,8.0,2.0,10.0
0000000001000011,7.0,4.0,11.0
0000000001000100,3.0,3.0,6.0
0000000001000101,4.0,3.0,7.0
0000000001000110,7.0,4.0,11.0
0000000001000111,5.0,3.0,8.0
0000000001001000,6.0,4.0,10.0
0000000001001001,10.0,5.0,15.0
0000000001001010,7.0,4.0,11.0
0000000001001011,8.0,4.0,12.0
0000000001001100,4.0,3.0,7.0
0000000001001101,7.0,4.0,11.0
0000000001001110,5.0,3.0,8.0
0000000001001111,5.0,3.0,8.0
0000000001010000,3.0,3.0,6.0
0000000001010001,4.0,3.0,7.0
0000000001010010,7.0,4.0,11.0
0000000001010011,5.0,3.0,8.0
0000000001010100,4.0,3.0,7.0
0000000001010101,2.0,2.0,4.0
0000000001010110,8.0,4.0,12.0
0000000001010111,5.0,3.0,8.0
0000000001011000,7.0,4.0,11.0
0000000001011001,8.0,4.0,12.0
0000000001011010,5.0,3.0,8.0
0000000001011011,6.0,3.0,9.0
0000000001011100,5.0,3.0,8.0
0000000001011101,5.0,3.0,8.0
0000000001011110,6.0,3.0,9.0
0000000001011111,3.0,2.0,5.0
0000000001100000,6.0,4.0,10.0
0000000001100001,10.0,5.0,15.0
0000000001100010,7.0,4.0,11.0
0000000001100011,8.0,4.0,12.0
0000000001100100,7.0,4.0,11.0
0000000001100101,8.0,4.0,12.0
0000000001100110,5.0,3.0,8.0
0000000001100111,6.0,3.0,9.0
0000000001101000,10.0,5.0,15.0
0000000001101001,13.0,5.0,18.0
0000000001101010,8.0,4.0,12.0
0000000001101011,10.0,4.0,14.0
0000000001101100,8.0,4.0,12.0
0000000001101101,10.0,4.0,14.0
0000000001101110,6.0,3.0,9.0
0000000001101111,7.0,3.0,10.0
0000000001110000,4.0,3.0,7.0
0000000001110001,7.0,4.0,11.0
0000000001110010,5.0,3.0,8.0
0000000001110011,5.0,3.0,8.0
0000000001110100,5.0,3.0,8.0
0000000001110101,5.0,3.0,8.0
0000000001110110,6.0,3.0,9.0
0000000001110111,3.0,2.0,5.0
0000000001111000,8.0,4.0,12.0
0000000001111001,10.0,4.0,14.0
0000000001111010,6.0,3.0,9.0
0000000001111011,7.0,3.0,10.0
0000000001111100,6.0,3.0,9.0
0000000001111101,7.0,3.0,10.0
0000000001111110,7.0,3.0,10.0
0000000001111111,4.0,2.0,6.0
0000000010000000,4.0,4.0,8.0
0000000010000001,8.0,2.0,10.0
0000000010000010,6.0,4.0,10.0
0000000010000011,7.0,4.0,11.0
0000000010000100,6.0,4.0,10.0
0000000010000101,7.0,4.0,11.0
0000000010000110,10.0,5.0,15.0
0000000010000111,8.0,4.0,12.0
0000000010001000,3.0,3.0,6.0
0000000010001001,7.0,4.0,11.0
0000000010001010,4.0,3.0,7.0
0000000010001011,5.0,3.0,8.0
0000000010001100,4.0,3.0,7.0
0000000010001101,5.0,3.0,8.0
0000000010001110,7.0,4.0,11.0
0000000010001111,5.0,3.0,8.0
