,Frequency,Dimension,Robustness
1111111011111111,35.0,5.0,0.6192857142857144
1000110101001111,1.0,14.0,0.325
1100111111111101,2.0,9.0,0.55
0010111100101011,2.0,10.0,0.4875
1101110100010001,2.0,6.0,0.35
0000000000000010,34.0,8.0,0.6176470588235292
0000000100000001,13.0,6.0,0.5375000000000001
0001000000000000,29.0,8.0,0.6599137931034481
1111001011110000,4.0,6.0,0.4937500000000001
1110011111110111,3.0,9.0,0.44166666666666665
0000000000010001,18.0,6.0,0.6034722222222223
1111010100010001,1.0,9.0,0.4375
0011000011110100,2.0,9.0,0.31875
0000000000000100,35.0,8.0,0.6150000000000002
0100110011001100,3.0,6.0,0.48333333333333334
1010100000001000,3.0,8.0,0.42083333333333334
1011001100110011,3.0,6.0,0.6166666666666667
0000100010001000,3.0,7.0,0.5666666666666667
1111100011111000,7.0,5.0,0.5303571428571429
0001000100110011,5.0,5.0,0.5199999999999999
0101111111111111,20.0,4.0,0.6787499999999999
0001010100010101,4.0,5.0,0.43749999999999994
0001110111111010,1.0,12.0,0.275
1010001010100010,5.0,5.0,0.635
0101111111011111,6.0,7.0,0.5854166666666667
1010111011001110,1.0,11.0,0.575
0000000000001000,47.0,8.0,0.6547872340425531
1111000100010001,1.0,6.0,0.425
1110101010111010,1.0,10.0,0.4875
1011111111111111,32.0,5.0,0.7054687500000003
1011101110111011,11.0,3.0,0.5829545454545454
0111111001001100,1.0,11.0,0.175
0000001100000100,2.0,11.0,0.48125
0100010000000000,14.0,6.0,0.6857142857142857
0011000111111111,5.0,7.0,0.5099999999999999
0010001010101000,3.0,9.0,0.4875
0000100000001000,13.0,6.0,0.6615384615384616
1111111100110011,13.0,3.0,0.5923076923076922
1110010000000000,1.0,8.0,0.475
0000000000100010,18.0,6.0,0.6444444444444444
0000000001000000,28.0,8.0,0.6419642857142858
1110000000000000,4.0,7.0,0.446875
0000010100010101,2.0,8.0,0.48124999999999996
0100010001000100,12.0,4.0,0.5833333333333335
1111111011111110,19.0,4.0,0.5315789473684212
1010111011101100,2.0,11.0,0.4
0011000000000100,1.0,9.0,0.6625
